"","data.INSTNM","data.TUITFTE","value"
"1","Alabama A & M University","5509",0.0534907954150747
"2","University of Alabama at Birmingham","5985",0.0669511869831955
"3","Amridge University","10873",0.093937125748503
"4","University of Alabama in Huntsville","6155",0.0790975808643653
"5","Alabama State University","5991",0.045757071547421
"6","The University of Alabama","8900",0.0567781690140845
"7","Central Alabama Community College","1406",0.0918774966711052
"8","Athens State University","3836",0.0851875397329943
"9","Auburn University at Montgomery","4985",0.0759144237405107
"10","Auburn University","10258",0.0597781429745275
"11","Birmingham Southern College","12280",0.0437696335078534
"12","Chattahoochee Valley Community College","1615",0.104166666666667
"13","Concordia College Alabama","4220",0.0706566916043225
"14","South University-Montgomery","15778",0.0991041433370661
"15","Enterprise State Community College","1595",0.0748663101604278
"16","James H Faulkner State Community College","2472",0.0608947804473902
"17","Faulkner University","8243",0.0955794504181601
"18","Gadsden State Community College","1333",0.13631156930126
"19","George C Wallace State Community College-Dothan","1596",0.131465517241379
"20","George C Wallace State Community College-Hanceville","1888",0.0651072124756335
"21","George C Wallace State Community College-Selma","1182",0.308550185873606
"22","Herzing University-Birmingham","9300",0.0711523588553751
"23","Huntingdon College","8250",0.050790608528989
"24","Heritage Christian University","9274",0.228727885425442
"25","J F Drake State Community and Technical College","891",0.261494252873563
"26","Jacksonville State University","5029",0.0589651022864019
"27","Jefferson Davis Community College","1024",0.103658536585366
"28","Jefferson State Community College","2410",0.0634796238244514
"29","John C Calhoun State Community College","2192",0.0623893805309735
"30","Judson College","4478",0.0353959765724472
"31","Lawson State Community College-Birmingham Campus","1507",0.156779661016949
"32","University of West Alabama","5042",0.0881310894596988
"33","Lurleen B Wallace Community College","1268",0.111413043478261
"34","Marion Military Institute","2616",0.0468986384266263
"35","Miles College","3546",0.0574307304785894
"36","University of Mobile","8304",0.0634696755994358
"37","University of Montevallo","5295",0.0485588158919761
"38","Northwest-Shoals Community College","1376",0.0539314516129032
"39","University of North Alabama","5123",0.0571981210279083
"40","Northeast Alabama Community College","1487",0.0856209150326797
"41","Oakwood University","10249",0.0378351290403408
"42","Alabama Southern Community College","1561",0.128550074738416
"43","Prince Institute-Southeast","16507",0.187435277873662
"44","Reid State Technical College","1428",0.153419593345656
"45","Bishop State Community College","1712",0.131396957123098
"46","Samford University","14368",0.0570373409930242
"47","Selma University","551",0.107625099285147
"48","Shelton State Community College","1807",0.103448275862069
"49","Snead State Community College","1411",0.0735206216377765
"50","University of South Alabama","4855",0.0636205899363794
"51","Spring Hill College","9352",0.0563884537927948
"52","Southeastern Bible College","8891",0.0440406529103788
"53","Stillman College","9294",0.0423728813559322
"54","Talladega College","6934",0.0358588779641411
"55","H Councill Trenholm State Community College","1319",0.175074183976261
"56","Troy University","6423",0.0903402424716465
"57","Tuskegee University","8629",0.0511720983419097
"58","United States Sports Academy","10679",0.160650887573965
"59","Bevill State Community College","1280",0.117011701170117
"60","University of Alaska Anchorage","4910",0.0769883951316162
"61","University of Alaska Fairbanks","5489",0.0592613009922823
"62","University of Alaska Southeast","5207",0.0659476117103236
"63","Alaska Pacific University","12731",0.0583456425406204
"64","AVTEC-Alaska's Institute of Technology","2572",0.063573883161512
"65","Charter College-Anchorage","9585",0.145587408656549
"66","Prince William Sound Community College","2029",0.0769883951316162
"67","Alaska Career College","8320",0.101360544217687
"68","Everest College-Phoenix","11960",0.759842519685039
"69","Collins College","14177",0.143531633616619
"70","Empire Beauty School-Paradise Valley","7098",0.0274969672462596
"71","Empire Beauty School-Tucson","7311",0.11094674556213
"72","Thunderbird School of Global Management","29636",0.103316082039486
"73","American Indian College Inc","8290",1.15042372881356
"74","American Institute of Technology","7420",0.0750293083235639
"75","Carrington College-Phoenix","11849",0.107090103397341
"76","CollegeAmerica-Flagstaff","16440",0.308743169398907
"77","Arizona Academy of Beauty-East","5417",0.0454545454545455
"78","Arizona Automotive Institute","13789",0.288216560509554
"79","Brookline College-Phoenix","6997",0.0221879220528651
"80","Arizona State University-Tempe","8492",0.0753213367609255
"81","Arizona Western College","924",0.0654425612052731
"82","University of Arizona","7790",0.0641592920353982
"83","Southwest University of Visual Arts-Tucson","11387",0.0915360501567398
"84","Toni & Guy Hairdressing Academy","8086",0.0283625730994152
"85","Central Arizona College","1344",0.0675734971478719
"86","Brown Mackie College-Tucson","9431",0.282442748091603
"87","Charles of Italy Beauty College","5827",1.64437689969605
"88","Cochise County Community College District","611",0.104182509505703
"89","Empire Beauty School-Flagstaff","6337",0.063758389261745
"90","Empire Beauty School-Chandler","6267",0.063758389261745
"91","Cortiva Institute-Tucson","6196",0.0400528169014085
"92","DeVry University-Arizona","14975",0.110550954267195
"93","Avalon School of Cosmetology-Mesa","7551",0.0433851098018211
"94","Eastern Arizona College","871",0.125317527519052
"95","Embry-Riddle Aeronautical University-Prescott","30214",0.0893827160493827
"96","Frank Lloyd Wright School of Architecture","22528",0.103891125167721
"97","Glendale Community College","1804",0.0832991382847764
"98","Grand Canyon University","7124",0.148821827201323
"99","Anthem College-Phoenix","13383",0.110859728506787
"100","International Academy of Hair Design","11521",0.0493712156497438
"101","Lamson College","6696",0.17687074829932
"102","Kaplan College","1084",0.0876451953537487
"103","Maricopa Beauty College LLC","3496",0.0269473684210526
"104","GateWay Community College","2043",0.0830605564648118
"105","Mesa Community College","2023",0.0882107023411371
"106","ITT Technical Institute-Tucson","19661",0.103174603174603
"107","ITT Technical Institute-Tempe","19183",0.127962085308057
"108","Mohave Community College","1222",0.135183527305282
"109","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","7832",0.0677685950413223
"110","Dine College","518",0.131455399061033
"111","Northern Arizona University","5830",0.0612444879960804
"112","Northland Pioneer College","964",0.107312440645774
"113","Ottawa University-Phoenix","3706",0.0751161590087765
"114","Phoenix College","1823",0.127732240437158
"115","Cortiva Institute-Scottsdale","7569",0.0369104579630895
"116","University of Phoenix-Phoenix-Hohokam Campus","8414",0.181445412608918
"117","Pima Community College","1597",0.0959952885747939
"118","Pima Medical Institute-Tucson","8774",0.0823471400394477
"119","Pima Medical Institute-Albuquerque","8626",0.0823471400394477
"120","Prescott College","10346",0.0637223974763407
"121","Refrigeration School Inc","5010",0.0931477516059957
"122","Rio Salado College","2168",0.111469368954399
"123","Roberto-Venn School of Luthiery","9967",0.0456392622694592
"124","Hair Academy of Safford","2345",0.00729631130928253
"125","Scottsdale Community College","2395",0.0793103448275862
"126","South Mountain Community College","1514",0.113141250878426
"127","Arizona Christian University","8120",0.0382103990326481
"128","Tucson College","15615",0.561576354679803
"129","Universal Technical Institute of Arizona Inc","8189",0.0789078907890789
"130","Western International University","13851",0.0971563981042654
"131","Empire Beauty School-NW Phoenix","6271",0.517985611510791
"132","Yavapai College","1376",0.0850673194614443
"133","University of Arkansas at Little Rock","6041",0.0688811188811189
"134","University of Arkansas for Medical Sciences","8725",0.130547550432277
"135","ABC Beauty College Inc","436",0.909547738693467
"136","Arkansas Baptist College","2606",0.0785714285714286
"137","Arkansas Beauty School-Little Rock","123",0.288590604026846
"138","Arkansas Beauty College","2415",0.392753623188406
"139","Lyon College","7584",0.0613046895467645
"140","Arkansas College of Barbering and Hair Design","3906",0.080188679245283
"141","Arthur's Beauty College Inc-Fort Smith","7751",0.033423667570009
"142","University of Arkansas","5966",0.0588098016336056
"143","University of Arkansas at Pine Bluff","1916",0.0545298411335337
"144","Arkansas State University-Beebe","1825",0.0593031875463306
"145","Arkansas State University-Main Campus","3579",0.059562253318981
"146","Arkansas Tech University","3258",0.0569948186528497
"147","University of Arkansas at Monticello","1819",0.08505875769446
"148","Arthur's Beauty College Inc-Jacksonville","11744",0.0242112986060161
"149","Baptist Health College-Little Rock","3857",0.104541298384639
"150","Bee Jays Academy","1668",0.37551867219917
"151","Black River Technical College","1198",0.0676611614278103
"152","University of Central Arkansas","5061",0.0577557755775578
"153","Central Baptist College","6171",0.0492200107584723
"154","Cossatot Community College of the University of Arkansas","1278",0.0620413609072715
"155","Crowley's Ridge College","6950",0.0477695820161574
"156","Crowley's Ridge Technical Institute","677",1
"157","East Arkansas Community College","1174",0.0834213305174234
"158","Eastern College of Health Vocations-Little Rock","4524",0.142131979695431
"159","Imagine-Paul Mitchell Partner School","3868",0.265266243282853
"160","National Park Community College","1199",0.0971107544141252
"161","University of Arkansas Community College-Batesville","1047",0.060126582278481
"162","Harding University","8563",0.0483434048760158
"163","Henderson State University","2992",0.0591966173361522
"164","Hendrix College","9636",0.0388483533819759
"165","Hot Springs Beauty College","3772",0.0495283018867925
"166","Jefferson Regional Medical Center School of Nursing","245",0.120410703173615
"167","John Brown University","9778",0.0702333254772567
"168","Lees School of Cosmetology","4613",0.413871951219512
"169","Career Academy of Hair Design","21820",0.061744966442953
"170","Marsha Kay Beauty College","813",2.04905660377359
"171","Academy of Salon and Spa","6356",0.67037037037037
"172","Arkansas State University Mid-South","1111",0.127690100430416
"173","Arkansas Northeastern College","1320",0.0735694822888283
"174","Margaret's Hair Academy Inc","3806",0.0471976401179941
"175","New Tyler Barber College Inc","5013",0.121212121212121
"176","North Arkansas College","843",0.0770163735597332
"177","Northwest Technical Institute","2021",0.128465804066543
"178","Ouachita Baptist University","7288",0.0444250871080139
"179","College of the Ouachitas","1692",0.0604156597390043
"180","Ozarka College","920",0.133903133903134
"181","University of the Ozarks","9987",0.0467494521548576
"182","University of Arkansas Community College-Morrilton","1470",0.0658163265306122
"183","Philander Smith College","6690",0.0505529225908373
"184","Phillips Community College of the University of Arkansas","698",0.134493670886076
"185","Southeast Arkansas College","1261",0.100691775557264
"186","Professional Cosmetology Education Center","3297",0.863275039745628
"187","Pulaski Technical College","1427",0.101241018941868
"188","University of Arkansas Community College-Hope","1375",0.113636363636364
"189","Rich Mountain Community College","900",0.105102040816327
"190","Paul Mitchell the School-Arkansas","1731",0.75
"191","Searcy Beauty College","1416",0.0113207547169811
"192","Williams Baptist College","4263",0.0533008658008658
"193","South Arkansas Community College","1451",0.077906976744186
"194","Southern Arkansas University Main Campus","3220",0.0700474279460051
"195","Southern Arkansas University Tech","1981",0.0840543881334982
"196","Velvatex College of Beauty Culture","184",0.591503267973856
"197","University of Arkansas-Fort Smith","2711",0.0567028351417571
"198","Abram Friedman Occupational Center","26",0.103911042944785
"199","Academy of Art University","17114",0.056875
"200","ITT Technical Institute-Rancho Cordova","17963",0.107196779063915
"201","Academy of Chinese Culture and Health Sciences","4523",0.104102760736196
"202","The Academy of Radio and TV Broadcasting","9828",0.284836065573771
"203","Avalon School of Cosmetology-Alameda","342",0.27843137254902
"204","College of Alameda","540",1.25954198473282
"205","Allan Hancock College","529",0.0944411237298267
"206","American Baptist Seminary of the West","11791",0.103891125167721
"207","American Film Institute Conservatory","23619",0.104082806210466
"208","American Beauty College","177",0.28760593220339
"209","American InterContinental University","25706",0.123730378578024
"210","American Career College-Los Angeles","15979",0.177007299270073
"211","American Conservatory Theater","18101",0.104102760736196
"212","American River College","476",0.742105263157895
"213","Everest College-Hayward","12865",0.0220335556903174
"214","Antelope Valley College","319",10.8461538461538
"215","Art Center College of Design","34803",0.0912356321839081
"216","Associated Technical College-Los Angeles","3148",130
"217","Associated Technical College-San Diego","9454",57
"218","Azusa Pacific University","15931",0.0726268846888936
"219","Bakersfield College","461",0.153664302600473
"220","Bridges Academy of Beauty","818",0.204528301886792
"221","Barstow Community College","328",0.546666666666667
"222","Bellus Academy-National City","6422",0.0618253189401374
"223","Bethany University","13289",0.0469627360898418
"224","Bethesda University","5292",0.238576449912127
"225","Biola University","15006",0.0556257901390645
"226","Brooks Institute","15362",0.0320417287630402
"227","Brownson Technical School","5564",0.183243508084272
